text,label
"Congratulations! You won a free iPhone, click here to claim!",1
"Hey, are we still meeting for lunch tomorrow?",0
"URGENT: Your account has been compromised, verify now at this link!",1
Can you send me the notes from class today?,0
Win $1000 cash prize! Text WIN to 12345 now!,1
I will be late to the meeting by 10 minutes,0
Click here to get FREE followers on Instagram!,1
Do you want to grab coffee this afternoon?,0
"You have been selected for a special reward, claim it now!",1
The project deadline has been moved to next Friday,0
Make money from home! Earn $500 daily with no experience!,1
Can you review my pull request when you get a chance?,0
"LIMITED TIME OFFER: Buy one get one free, click now!",1
I enjoyed the presentation you gave this morning,0
"Your phone bill is ready, click to view your statement",0
Let me know if you need help with the assignment,0
"FREE entry to win a luxury vacation, sign up today!",1
The team lunch is scheduled for noon on Thursday,0
"Earn extra income by working from home, no skills needed!",1
I have attached the report you requested,0
